tiles,num_threads,costs,best_costs,all_cost,log,trial
36.0,1024.0,0.0013025847746478874,0.0010188916257309942,1.9223556518554688,0.7822075350192998,0.0
40.0,1024.0,0.001203679821192053,0.0010188916257309942,1.96482515335083,0.8464806070454388,4.0
40.0,1024.0,0.0012033128092105263,0.0010188916257309942,1.7489957809448242,0.846738784738336,4.0
40.0,1024.0,0.001192724967105263,0.0010188916257309942,2.563812494277954,0.854255300954954,8.0
48.0,1024.0,0.0010828171597633137,0.0010188916257309942,2.665961503982544,0.9409636858301242,8.0
48.0,1024.0,0.0010859214345238094,0.0010188916257309942,2.0801358222961426,0.9382737952656689,12.0
40.0,1024.0,0.001273936048951049,0.0010188916257309942,1.7854022979736328,0.7997980954930534,14.0
48.0,1024.0,0.0013135271857142858,0.0010188916257309942,3.0526938438415527,0.7756913117690282,16.0
40.0,1024.0,0.0012091580662251654,0.0010188916257309942,1.9778788089752197,0.8426455185564297,16.0
40.0,1024.0,0.0012781412323943663,0.0010188916257309942,1.760721206665039,0.797166697941733,20.0
40.0,1024.0,0.0012778411267605632,0.0010188916257309942,1.7436575889587402,0.7973539154385896,22.0
36.0,1024.0,0.0013357492214285712,0.0010188916257309942,1.8404979705810547,0.7627866139733169,24.0
36.0,1024.0,0.0013281069064748202,0.0010188916257309942,1.7968699932098389,0.7671759108876463,24.0
52.0,1024.0,0.0012510237583892615,0.0010188916257309942,1.9121317863464355,0.8144462636288012,28.0
40.0,1024.0,0.0012156346928104574,0.0010188916257309942,2.0167157649993896,0.8381560938964256,28.0
40.0,1024.0,0.0012850966783216782,0.0010188916257309942,1.7541117668151855,0.7928521199367313,32.0
40.0,1024.0,0.0012273042147651007,0.0010188916257309942,1.7452688217163086,0.8301866916720436,34.0
48.0,1024.0,0.0011034852650602409,0.0010188916257309942,2.1440868377685547,0.9233395841269991,34.0
32.0,1024.0,0.0017341090288461537,0.0010188916257309942,1.6143372058868408,0.5875591492704165,38.0
44.0,1024.0,0.0013846634338235294,0.0010188916257309942,2.2210915088653564,0.7358406388457056,40.0
40.0,1024.0,0.0012885829103448277,0.0010188916257309942,1.969499111175537,0.7907070763947479,40.0
48.0,1024.0,0.0011466386026490066,0.0010188916257309942,1.8605976104736328,0.8885900259917234,42.0
48.0,1024.0,0.0013912396992481202,0.0010188916257309942,2.2860920429229736,0.7323623860659257,46.0
48.0,1024.0,0.0011129484910179642,0.0010188916257309942,2.1636691093444824,0.9154885728800077,46.0
44.0,1024.0,0.0013904294925373133,0.0010188916257309942,2.011047840118408,0.7327891354430914,50.0
48.0,1024.0,0.0011108988273809523,0.0010188916257309942,3.4726943969726562,0.9171776948699517,52.0
48.0,1024.0,0.0011101562142857143,0.0010188916257309942,2.0529229640960693,0.9177912194875739,54.0
48.0,1024.0,0.0014358958503937007,0.0010188916257309942,2.0980706214904785,0.7095860228662334,56.0
44.0,1024.0,0.001483380992,0.0010188916257309942,2.1550536155700684,0.6868711620453299,58.0
56.0,1024.0,0.0010867306294117646,0.0010188916257309942,2.0105338096618652,0.9375751434212443,60.0
28.0,1024.0,0.001848691581632653,0.0010188916257309942,1.547640085220337,0.5511420270714764,60.0
84.0,1024.0,0.0073745667187499996,0.0010188916257309942,3.1590328216552734,0.13816291378047196,88.0
68.0,1024.0,0.015146419249999998,0.0010188916257309942,3.5797955989837646,0.06726947200613072,88.0
83.0,1024.0,0.00628710065625,0.0010188916257309942,2.5992424488067627,0.16206065107580472,92.0
67.0,1024.0,0.02713211595,0.0010188916257309942,3.7866837978363037,0.037552973295877215,98.0
82.0,1024.0,0.0077894429000000005,0.0010188916257309942,2.2243757247924805,0.13080417159627605,104.0
81.0,1024.0,0.00846426315,0.0010188916257309942,2.0823731422424316,0.12037570284319365,108.0
68.0,1024.0,0.002367017420289855,0.0010188916257309942,2.6906449794769287,0.43045379260716427,112.0
66.0,1024.0,0.0139553879,0.0010188916257309942,2.6702723503112793,0.07301062736715432,118.0
68.0,1024.0,0.0023691545441176473,0.0010188916257309942,2.1698315143585205,0.4300654966814179,124.0
67.0,1024.0,0.002941852018181818,0.0010188916257309942,1.906759262084961,0.3463436024089036,128.0
104.0,1024.0,0.0012179527794117647,0.0010188916257309942,1.3277244567871094,0.8365608609416605,150.0
28.0,1024.0,0.0048385353125,0.0010188916257309942,2.661560535430908,0.21057852426926854,162.0
40.0,1024.0,0.001491858508474576,0.0010188916257309942,1.7359192371368408,0.6829680026243307,164.0
56.0,1024.0,0.0012234012676056339,0.0010188916257309942,4.662384748458862,0.8328351888380062,166.0
64.0,1024.0,0.0012596762647058822,0.0010188916257309942,7.554896593093872,0.8088519679847203,168.0
34.0,1024.0,0.004460806277777778,0.0010188916257309942,1.4736781120300293,0.22840974529801178,172.0
52.0,1024.0,0.002715856107142857,0.0010188916257309942,3.283165216445923,0.3751640681740284,172.0
32.0,1024.0,0.00169798786407767,0.0010188916257309942,1.5282142162322998,0.6000582497004158,176.0
40.0,1024.0,0.0014971544491525423,0.0010188916257309942,1.730144739151001,0.6805521142509601,176.0
56.0,1024.0,0.0010359225555555554,0.0010188916257309942,3.053459644317627,0.9835596495768666,182.0
28.0,1024.0,0.0026597614761904764,0.0010188916257309942,1.436845302581787,0.38307631524550556,184.0
36.0,1024.0,0.002500141432835821,0.0010188916257309942,1.4838242530822754,0.4075335948395935,186.0
26.0,1024.0,0.004642939617647059,0.0010188916257309942,1.439201831817627,0.21944968266620413,194.0
24.0,1024.0,0.0063020201875,0.0010188916257309942,1.9338726997375488,0.16167698538191871,194.0
36.0,1024.0,0.00499239271875,0.0010188916257309942,4.496733665466309,0.20408883738339106,200.0
36.0,1024.0,0.0012815474344262294,0.0010188916257309942,1.790497064590454,0.7950479228161924,200.0
56.0,1024.0,0.0010318950411764706,0.0010188916257309942,1.9527487754821777,0.9873985096094162,204.0
144.0,1024.0,0.002418084901408451,0.0010188916257309942,4.502483129501343,0.4213630485586031,206.0
80.0,1024.0,0.0014281408974358976,0.0010188916257309942,1.961878776550293,0.7134391484483956,206.0
28.0,1024.0,0.00264126340625,0.0010188916257309942,1.4760193824768066,0.3857591875615281,210.0
36.0,1024.0,0.002895878963636364,0.0010188916257309942,1.5790398120880127,0.3518419238252862,210.0
32.0,1024.0,0.0016478375809523807,0.0010188916257309942,1.5976998805999756,0.6183204203548494,214.0
36.0,1024.0,0.0028284863571428577,0.0010188916257309942,1.729198932647705,0.36022504515814896,216.0
56.0,1024.0,0.001020401321637427,0.0010188916257309942,2.219205617904663,0.9985204880918713,218.0
28.0,1024.0,0.0038568473750000007,0.0010188916257309942,1.4968018531799316,0.2641773258479003,220.0
72.0,1024.0,0.001528387852173913,0.0010188916257309942,2.6768014430999756,0.6666446767957274,220.0
142.0,1024.0,0.001860053641304348,0.0010188916257309942,3.5896084308624268,0.5477753991097292,222.0
78.0,1024.0,0.0017011269999999998,0.0010188916257309942,2.0462327003479004,0.5989509458911618,224.0
28.0,1024.0,0.002597973046875,0.0010188916257309942,1.4774410724639893,0.3921871425712361,226.0
56.0,1024.0,0.0010419337185628742,0.0010188916257309942,2.247694730758667,0.9778852604332052,228.0
64.0,1024.0,0.0015868950094339621,0.0010188916257309942,2.563354015350342,0.6420661856479264,230.0
56.0,1024.0,0.001019543105263158,0.0010188916257309942,2.4782795906066895,0.9993610083489354,234.0
36.0,1024.0,0.0013684571953125,0.0010188916257309942,1.6153647899627686,0.7445549844168278,236.0
52.0,1024.0,0.0012708294676258994,0.0010188916257309942,1.9779751300811768,0.8017532262880535,236.0
40.0,1024.0,0.001240038323943662,0.0010188916257309942,1.760939598083496,0.8216614003433695,240.0
