task_name,trial,costs,all_cost,best_cost,best_all_cost,cmp
conv2d_nchw.cuda,1,0.00022846535059760955,2.262485980987549,2.967525734473782e-05,2.659210205078125,0.9963286014401915
conv2d_nchw.cuda,3,9.774332363861386e-05,1.3716411590576172,2.967525734473782e-05,2.659210205078125,0.99874286994653
conv2d_nchw.cuda,5,0.0006918496543778801,1.353858232498169,2.967525734473782e-05,2.659210205078125,0.9877704865075092
conv2d_nchw.cuda,6,0.0001374125719237435,1.4185214042663574,2.967525734473782e-05,2.659210205078125,0.9980102297095871
conv2d_nchw.cuda,8,0.00010125288683989942,1.587977409362793,2.967525734473782e-05,2.659210205078125,0.9986780528066419
conv2d_nchw.cuda,11,0.00014786535469710272,1.1991946697235107,2.967525734473782e-05,2.659210205078125,0.9978171801919167
conv2d_nchw.cuda,12,9.744256356275303e-05,2.3946373462677,2.967525734473782e-05,2.659210205078125,0.9987484246001412
conv2d_nchw.cuda,16,0.0018848605625,2.4245457649230957,2.967525734473782e-05,2.659210205078125,0.9657371021559878
conv2d_nchw.cuda,18,8.100111588847833e-05,1.7530035972595215,2.967525734473782e-05,2.659210205078125,0.9990520770927014
conv2d_nchw.cuda,19,7.200657613365154e-05,2.279550075531006,2.967525734473782e-05,2.659210205078125,0.999218194728453
conv2d_nchw.cuda,21,0.0005358796607538803,1.8409478664398193,2.967525734473782e-05,2.659210205078125,0.9906510526393238
conv2d_nchw.cuda,22,8.669379454022989e-05,1.6675076484680176,2.967525734473782e-05,2.659210205078125,0.9989469406049544
conv2d_nchw.cuda,23,9.865235837438424e-05,2.2826950550079346,2.967525734473782e-05,2.659210205078125,0.9987260812385762
conv2d_nchw.cuda,24,6.065168004338395e-05,1.3052008152008057,2.967525734473782e-05,2.659210205078125,0.9994279051243304
conv2d_nchw.cuda,25,0.0020052692533333335,1.8722155094146729,2.967525734473782e-05,2.659210205078125,0.9635133077662363
conv2d_nchw.cuda,27,0.0044732015,1.9767205715179443,2.967525734473782e-05,2.659210205078125,0.9179337582632789
conv2d_nchw.cuda,28,7.170310430364614e-05,1.7239372730255127,2.967525734473782e-05,2.659210205078125,0.999223799464692
conv2d_nchw.cuda,29,0.0001021980046511628,1.9352574348449707,2.967525734473782e-05,2.659210205078125,0.998660597690472
conv2d_nchw.cuda,30,0.0002303371979768786,1.3314428329467773,2.967525734473782e-05,2.659210205078125,0.996294030815167
conv2d_nchw.cuda,32,0.001767959505882353,1.6907145977020264,2.967525734473782e-05,2.659210205078125,0.9678961150317459
conv2d_nchw.cuda,33,0.00016093739240506327,1.7051188945770264,2.967525734473782e-05,2.659210205078125,0.9975757563883988
conv2d_nchw.cuda,36,0.0011942484365079365,2.486227035522461,2.967525734473782e-05,2.659210205078125,0.9784918241004471
conv2d_nchw.cuda,37,0.0007663629206349207,2.958670139312744,2.967525734473782e-05,2.659210205078125,0.9863943218609403
conv2d_nchw.cuda,38,0.0003629084446107784,1.7198495864868164,2.967525734473782e-05,2.659210205078125,0.993845609588539
conv2d_nchw.cuda,39,0.0055993693750000005,1.814087152481079,2.967525734473782e-05,2.659210205078125,0.8971348791706569
conv2d_nchw.cuda,42,0.004347939607843137,2.072080612182617,2.967525734473782e-05,2.659210205078125,0.9202471850691036
conv2d_nchw.cuda,43,0.00018846519875292283,4.100116968154907,2.967525734473782e-05,2.659210205078125,0.9970673530423043
